                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.2068,                 3.9163,                 4.4568,                0.00174,                0.05263,                0.00116,                0.00012,                 5.1774,                 4.1802,                  4.162,                0.00018,                0.00018,                0.00018
                      1,                 5.5541,                 3.7503,                 4.2274,                0.00174,                0.05263,                0.00116,                0.00012,                 5.1793,                  4.193,                 4.1652,             0.00037875,             0.00037875,             0.00037875
                      2,                 4.8093,                 3.2672,                 4.1327,                0.00347,                0.10526,                0.00265,                0.00026,                 5.1821,                 4.2056,                 4.1691,             0.00057617,             0.00057617,             0.00057617
                      3,                 4.4627,                 3.0182,                 3.7931,                0.00161,                0.05263,                0.00099,                 0.0002,                 5.1914,                 4.2149,                 4.1786,             0.00077228,             0.00077228,             0.00077228
                      4,                 3.8128,                 2.4922,                 3.5548,                0.00168,                0.05263,                0.00108,                0.00022,                 5.2188,                 4.1993,                 4.2044,             0.00096706,             0.00096706,             0.00096706
                      5,                 3.6327,                   2.38,                 3.1282,                0.00162,                0.05263,                0.00104,                0.00021,                 5.2859,                 4.2782,                 4.2725,              0.0011605,              0.0011605,              0.0011605
                      6,                 3.3077,                 2.0496,                 2.9315,                 0.0016,                0.05263,                0.00103,                0.00021,                 5.3647,                 4.3533,                 4.3339,              0.0013527,              0.0013527,              0.0013527
                      7,                 3.1364,                 1.9808,                 2.8308,                0.00278,                0.05263,                0.00162,                0.00032,                 5.2411,                 4.2012,                 4.2233,              0.0015435,              0.0015435,              0.0015435
                      8,                 3.0373,                 1.8399,                 2.6021,                0.00278,                0.05263,                0.00162,                0.00032,                 5.0765,                 4.0839,                 4.0852,               0.001733,               0.001733,               0.001733
                      9,                 2.7493,                 1.7021,                 2.4037,                0.00278,                0.05263,                0.00162,                0.00032,                 5.4034,                 4.6457,                 4.4091,              0.0019212,              0.0019212,              0.0019212
                     10,                 2.6622,                 1.6809,                 2.2855,                0.02698,                0.21053,                0.07814,                0.02582,                 4.3208,                 3.8963,                 3.8109,               0.001934,               0.001934,               0.001934
                     11,                 2.6633,                 1.6333,                 2.3061,                0.78468,                0.63158,                0.66466,                0.26967,                 2.4042,                 1.6577,                  2.234,               0.001934,               0.001934,               0.001934
                     12,                 2.5229,                 1.5408,                 2.1708,                 0.8992,                0.63158,                 0.7244,                0.25116,                 2.4267,                 1.6627,                  2.189,              0.0019274,              0.0019274,              0.0019274
                     13,                 2.6281,                 1.5372,                 2.1795,                0.86522,                0.67621,                0.70069,                0.32366,                 2.3091,                 1.4814,                 2.0788,              0.0019208,              0.0019208,              0.0019208
                     14,                 2.4327,                 1.5214,                   2.17,                0.84904,                0.57895,                0.72065,                0.22851,                 2.6481,                 2.1394,                 2.1574,              0.0019142,              0.0019142,              0.0019142
