                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.2068,                 3.9163,                 4.4568,                0.00174,                0.05263,                0.00116,                0.00012,                 5.1774,                 4.1802,                  4.162,                0.00018,                0.00018,                0.00018
                      1,                 5.5803,                  3.778,                 4.2273,                0.00181,                0.05263,                0.00096,                 0.0001,                 5.1793,                 4.1931,                 4.1653,             0.00036119,             0.00036119,             0.00036119
                      2,                  4.787,                 3.3028,                 4.1689,                0.00343,                0.10526,                0.00259,                0.00026,                 5.1813,                 4.2043,                 4.1682,             0.00052258,             0.00052258,             0.00052258
                      3,                 4.6486,                 3.1778,                 3.9474,                0.00324,                0.10526,                0.00243,                0.00034,                 5.1868,                 4.2152,                  4.174,             0.00066417,             0.00066417,             0.00066417
                      4,                 3.9418,                 2.5717,                 3.7009,                0.00163,                0.05263,                0.00107,                0.00021,                 5.2081,                 4.2281,                 4.1939,             0.00078596,             0.00078596,             0.00078596
                      5,                 3.8414,                 2.4202,                  3.291,                0.00166,                0.05263,                0.00106,                0.00021,                 5.2471,                 4.2391,                 4.2351,             0.00088795,             0.00088795,             0.00088795
                      6,                 3.3365,                 2.0977,                 3.0521,                0.00159,                0.05263,                0.00101,                 0.0002,                 5.3174,                 4.3474,                 4.2984,             0.00097014,             0.00097014,             0.00097014
                      7,                 3.2434,                 2.0694,                 3.0212,                0.00162,                0.05263,                  0.001,                 0.0002,                 5.4321,                 4.5561,                 4.3982,              0.0010325,              0.0010325,              0.0010325
                      8,                  3.041,                 1.9157,                 2.7544,                0.00162,                0.05263,                  0.001,                 0.0002,                 5.5145,                 4.7074,                 4.4934,              0.0010751,              0.0010751,              0.0010751
                      9,                 2.9467,                 1.7612,                 2.5447,                0.00162,                0.05263,                  0.001,                 0.0002,                 5.5187,                 4.6139,                 4.5286,              0.0010979,              0.0010979,              0.0010979
                     10,                 2.4957,                 1.8017,                 2.6341,                0.00162,                0.05263,                  0.001,                 0.0002,                 5.0423,                 4.1444,                  4.148,                0.00101,                0.00101,                0.00101
                     11,                 2.4432,                 1.7252,                 2.6404,                 0.4327,                0.42105,                0.26262,                 0.0957,                 2.8677,                 2.0653,                   2.68,                0.00101,                0.00101,                0.00101
                     12,                 2.3313,                 1.6304,                 2.6147,                0.87879,                0.57895,                0.61341,                0.23959,                 2.4204,                 1.6437,                 2.3059,               0.000911,               0.000911,               0.000911
                     13,                 2.2889,                  1.749,                 2.5041,                0.80252,                0.52632,                0.60839,                0.23489,                 2.3976,                 1.5965,                 2.2569,               0.000812,               0.000812,               0.000812
                     14,                 2.1991,                 1.5275,                 2.2825,                0.56092,                0.63158,                0.51497,                0.20882,                 2.3478,                 1.5509,                 2.1669,               0.000713,               0.000713,               0.000713
                     15,                 2.1273,                 1.6006,                 2.3545,                0.72817,                0.63158,                0.67597,                 0.3015,                 2.2758,                 1.5408,                 2.1425,               0.000614,               0.000614,               0.000614
                     16,                 2.1287,                 1.5023,                 2.2873,                0.70719,                0.73684,                0.73284,                0.32377,                 2.2599,                 1.5603,                 2.0991,               0.000515,               0.000515,               0.000515
                     17,                 2.0444,                 1.4898,                 2.3407,                0.70936,                0.68421,                0.73664,                0.34291,                 2.2407,                 1.6832,                 2.0705,               0.000416,               0.000416,               0.000416
                     18,                 2.0368,                 1.4714,                 2.2851,                0.70299,                0.68421,                0.72613,                 0.3631,                 2.1328,                 1.4753,                  2.013,               0.000317,               0.000317,               0.000317
                     19,                 2.0212,                 1.4669,                 2.2469,                0.70523,                0.78947,                 0.7514,                0.38349,                 2.0202,                 1.3545,                 1.9931,               0.000218,               0.000218,               0.000218
